SG_HSOCI_H08,Y1,BA Hons Social Care Practice
SG_HSOCI_H08,Y2,BA Hons Social Care Practice
SG_HSOCI_H08,Y3,BA Hons Social Care Practice
SG_HSOCI_H08,Y4,BA Hons Social Care Practice
SG_HWRIT_H08,Y1,BA(Hons) Writing & Literature
SG_JCONS_K08,Y4,BSc Hons Construction Proj Mgt
SG_JINTE_H08,Y1,BA Hons Architectural Design
SG_JINTE_H08,Y2,BA Hons Architectural Design
SG_JINTE_H08,Y3,BA Hons Architectural Design
SG_JINTE_H08,Y4,BA Hons Architectural Design
SG_JQUAN_B07,Y1,BSc in Quantity Surveying L7
SG_JQUAN_B07,Y2,BSc in Quantity Surveying L7
SG_JQUAN_B07,Y3,BSc in Quantity Surveying L7
SG_JQUAN_H08,Y1,BSc Hons Quantity Surveying
SG_JQUAN_H08,Y2,BSc Hons Quantity Surveying
SG_JQUAN_H08,Y3,BSc Hons Quantity Surveying
SG_JQUAN_H08,Y4,BSc Hons Quantity Surveying
SG_JQUAN_J07,Y3,Bachelor of Science in Quantit
SG_JQUAN_K08,Y4,BSc Hons Quantity Survey L8
SG_KCMPT_L08,Y4,H Dip in Sci in Computing L8
SG_KCOMP_H08,Y1,BSc (Hons) Computing
SG_KCOMP_H08,Y2,BSc (Hons) Computing
SG_KCOMP_H08,Y3,BSc (Hons) Computing
SG_KCOMP_X,Y1,External Users-Comp Facilities
SG_KGDEV_B07,Y1,BSc in Game Development L7
SG_KGDEV_B07,Y2,BSc in Game Development L7
SG_KGDEV_B07,Y3,BSc in Game Development L7
SG_KSDEV_B07,Y1,BSc Software Development L7
SG_KSDEV_B07,Y2,BSc Software Development L7
SG_KSDEV_B07,Y3,BSc Software Development L7
SG_KSDEV_K08,Y4,BSc Hons Software Development
SG_KSYSN_B07,Y1,BSc Systems and Networking
SG_KSYSN_B07,Y2,BSc Systems and Networking
SG_KSYSN_B07,Y3,BSc Systems and Networking
SG_KSYSN_K08,Y4,BSc Hons Syst and Networing L
SG_KSYST_B07,Y2,BSc Compting Syst & Netwkg L7
SG_KWDEV_B07,Y1,BSc in Web Development L7
SG_KWDEV_B07,Y2,BSc in Web Development L7
SG_KWDEV_B07,Y3,BSc in Web Development L7
SG_PCOUN_E06,Y1,Certificate in Counselling
SG_SACCR_S06,Y1,Cert in Accredited Comp Train
SG_SAGRI_B07,Y1,BSc in Agri-Food Science
SG_SAGRI_B07,Y2,BSc in Agri-Food Science
